"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
64,1,6,12,313,NA,0,8,8,2,6,9,2,1,5,3,7,7,2,5,60
51,2,NA,12,313,8,3,8,9,2,4,6,1,1,1,2,6,2,3,5,210
21,2,6,NA,322,4,4,7,7,1,6,4,2,2,3,1,7,6,3,5,240
66,2,6,16,610,8,4,8,8,3,5,5,1,2,4,6,6,4,2,5,180
17,2,6,11,213,NA,0,9,10,1,6,8,1,2,6,1,5,7,4,5,300
18,1,6,11,212,NA,4,8,9,1,6,4,3,1,2,2,5,6,3,5,300
52,1,NA,12,322,9,3,10,5,1,5,5,1,1,3,2,5,2,4,5,120
76,2,5,11,322,4,5,8,8,2,3,6,2,1,2,6,3,3,2,5,60
22,2,6,14,322,4,0,9,10,2,7,4,2,1,3,1,7,7,4,5,210
19,1,6,12,313,1,6,9,10,1,6,3,2,3,3,2,5,5,2,5,720
51,1,NA,12,322,6,5,7,8,3,4,7,2,2,1,4,5,2,3,5,180
43,1,4,9,322,3,5,5,5,3,6,3,2,2,1,3,6,6,2,5,240
58,2,NA,9,212,NA,9,9,9,3,3,7,1,1,1,3,4,1,3,5,30
41,2,NA,12,322,8,5,8,8,2,4,8,1,1,1,2,5,1,3,5,240
80,2,4,9,212,2,5,8,9,3,5,8,1,2,3,6,4,4,3,2,NA
47,1,NA,14,322,NA,7,8,8,1,6,3,3,1,3,3,4,3,3,5,135
52,2,NA,12,322,8,3,9,9,1,6,1,1,1,3,1,7,7,4,5,300
73,1,4,11,322,NA,7,8,8,2,5,6,1,3,3,3,5,NA,2,5,300
53,1,4,13,423,4,5,9,9,1,6,9,2,1,4,1,5,5,3,5,60
61,2,NA,11,322,NA,7,9,9,2,4,8,2,3,2,3,5,1,3,5,30
77,1,NA,12,322,NA,6,8,9,3,6,3,1,1,1,4,5,5,3,4,60
33,1,NA,12,322,10,0,10,10,1,2,10,3,1,2,1,7,7,1,5,180
