"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
26,2,6,17,620,2,0,5,6,1,4,6,1,1,6,6,7,7,2,5,480
67,1,4,19,720,8,2,9,9,1,5,5,5,1,5,3,7,7,2,5,60
67,2,5,17,610,6,8,8,9,2,6,8,2,1,4,2,5,1,2,4,240
22,2,6,13,322,8,2,8,9,1,6,8,3,2,5,2,7,6,3,5,480
22,1,6,12,423,10,2,8,8,1,6,4,3,2,3,2,6,6,3,5,300
69,2,5,11,322,3,7,6,7,3,6,1,1,1,2,2,6,6,3,5,240
78,2,5,12,322,3,2,8,8,4,6,8,1,1,1,2,6,1,4,5,60
23,1,6,12,322,2,3,1,2,1,6,2,2,1,3,2,5,7,2,5,150
58,2,4,12,322,1,9,7,7,3,5,6,1,1,1,2,3,1,2,5,60
30,1,6,12,322,8,2,8,8,2,4,6,1,3,3,1,7,7,3,5,120
85,1,1,14,322,3,1,7,8,3,5,5,2,1,2,3,5,6,3,5,90
27,2,6,9,212,6,6,9,10,2,6,7,1,2,4,5,5,6,2,5,45
41,2,6,16,610,7,2,6,6,2,5,5,1,1,4,2,7,6,3,5,120
35,1,6,15,620,5,0,5,5,1,4,7,1,1,4,5,7,7,2,5,300
56,1,4,11,322,3,5,6,6,2,4,7,1,3,2,3,5,5,3,5,180
66,2,5,19,720,5,0,9,10,1,5,8,3,1,4,2,7,7,2,5,45
52,1,4,15,710,5,7,7,8,1,6,3,2,1,1,2,5,2,4,5,120
57,2,4,12,322,1,0,8,3,3,2,3,2,1,3,3,7,7,2,5,180
86,2,5,13,423,7,0,10,9,1,6,10,2,1,1,2,6,1,4,4,60
61,1,4,12,322,7,1,9,8,2,6,8,1,1,3,3,7,7,3,5,360
63,1,4,11,322,3,0,8,9,1,7,6,1,2,2,1,7,7,4,4,60
23,2,6,16,313,2,4,6,6,2,4,4,2,1,3,2,5,6,2,5,0
64,2,4,13,423,2,3,6,5,3,4,5,1,1,2,4,6,4,2,5,60
46,2,6,13,313,9,3,8,8,2,4,8,1,1,1,3,6,2,3,5,270
67,2,4,13,620,2,9,2,3,5,4,5,1,1,5,2,7,1,5,5,360
41,1,6,10,212,1,1,4,4,3,2,9,3,2,4,4,7,7,1,4,90
53,2,6,15,710,5,5,10,10,2,3,2,3,2,4,3,6,4,2,5,600
54,2,4,18,610,8,4,8,8,2,4,8,1,1,1,2,6,2,3,5,210
22,1,6,14,313,3,0,7,7,1,6,8,3,1,6,2,7,7,3,5,60
62,2,5,14,422,3,5,5,5,3,4,5,2,1,1,3,6,1,2,5,90
32,2,6,12,212,5,4,8,8,2,6,8,3,1,1,2,6,7,3,5,240
25,1,6,13,322,6,0,5,6,2,4,7,2,1,5,2,7,7,3,5,180
33,2,6,13,423,1,7,4,5,2,4,4,2,2,5,4,7,3,2,5,240
64,1,6,11,322,8,5,10,9,2,4,3,1,2,3,3,7,6,3,5,90
53,2,6,18,720,6,10,10,9,2,6,8,2,1,3,2,5,5,3,5,120
54,2,6,13,313,4,8,9,9,1,4,8,1,1,3,4,4,2,3,5,180
31,2,6,11,322,3,7,7,8,2,6,6,1,2,3,4,4,3,3,4,300
26,1,6,19,610,9,5,9,8,2,6,8,2,1,4,3,6,6,3,5,600
26,1,6,11,322,6,5,8,7,1,5,6,2,2,3,2,5,6,3,5,180
24,2,6,16,322,2,7,8,9,1,6,6,1,2,2,1,5,4,4,5,240
37,1,6,9,322,3,2,7,7,2,6,5,2,2,4,3,6,7,3,5,180
86,2,5,15,610,4,6,8,8,3,7,9,1,1,5,5,7,2,2,5,30
66,2,6,25,720,3,5,8,8,2,5,7,4,1,3,1,6,2,3,5,180
33,1,6,18,620,3,3,8,8,1,6,5,2,1,3,4,7,7,2,5,240
27,1,6,17,313,3,0,7,7,2,5,3,2,2,4,2,7,7,2,5,240
75,2,5,8,212,5,5,10,10,2,6,2,1,1,1,1,7,7,3,5,180
47,2,4,11,322,3,10,2,5,2,5,6,2,1,2,1,7,1,3,5,300
82,2,6,12,322,4,4,10,10,2,4,1,1,1,1,1,6,7,2,5,120
52,2,6,9,322,9,5,0,10,5,6,0,2,2,4,4,6,6,2,5,90
80,2,5,24,800,9,6,7,7,2,4,5,4,1,4,5,6,1,3,5,60
26,1,6,19,720,8,5,9,8,1,4,10,1,1,1,3,5,3,2,5,120
23,2,6,9,322,7,0,9,9,1,6,8,1,2,3,4,5,7,3,5,120
66,2,1,11,322,3,10,10,10,4,1,2,1,2,2,5,7,3,1,5,10
64,1,4,11,322,3,0,10,9,1,6,7,1,2,1,1,7,7,4,4,30
66,2,4,12,322,1,4,3,3,4,4,3,1,1,2,2,7,4,2,5,30
59,1,4,15,322,6,8,9,7,2,6,9,2,2,2,1,6,1,3,5,60
25,1,6,18,313,1,3,5,4,3,5,3,3,2,4,4,7,6,2,5,420
34,1,6,19,313,9,0,8,9,2,5,8,1,2,3,1,7,7,3,5,660
61,2,6,24,422,6,5,6,7,3,4,7,1,1,3,3,6,4,2,5,45
87,2,4,16,610,4,5,8,9,2,5,3,1,1,2,3,5,3,3,5,240
78,1,5,15,322,7,2,7,8,4,2,7,5,2,3,5,5,5,1,5,30
70,2,5,12,322,2,7,8,8,2,6,7,2,2,2,3,5,4,3,5,30
36,2,6,13,423,7,0,9,9,1,5,9,2,2,4,2,5,6,3,5,420
38,1,6,11,212,8,6,6,6,2,6,4,2,1,3,3,7,7,2,4,60
80,2,4,16,610,6,1,9,8,3,6,10,1,1,2,6,7,7,4,5,30
50,2,6,19,720,8,0,9,9,2,6,10,6,1,6,4,7,7,3,5,180
